artist_name,num_songs,tempo,loudness,energy
Alan Jackson,11,130.012,-8.25690909090909,0.6265454545454545
Alan Reeves / Phil Steele / Philip Brigham,1,104.402,-8.646,0.583
Alan Silvestri,3,76.31966666666666,-19.121333333333336,0.23024333333333333
Alan Walker,1,179.87,-5.272,0.645
Alanis Morissette,16,120.4529375,-7.2953125000000005,0.6836875
Alannah Myles,1,91.147,-6.009,0.5
Alaska In Winter,1,110.007,-10.519,0.417
Albert Ayler,1,83.266,-13.701,0.396
Albert Collins,3,100.22666666666667,-10.233333333333333,0.7296666666666667
Albert Hammond,1,116.429,-8.45,0.618
"Albert Hammond, Jr.",6,122.7935,-4.896,0.7341666666666667
Albert King,5,136.10899999999998,-9.189599999999999,0.4248
Alborosie,7,125.04442857142858,-5.471428571428571,0.6948571428571428
Alcazar,2,131.506,-5.246,0.8915
Alcest,3,108.07433333333334,-9.773,0.5926666666666667
Alceu Valença,1,107.303,-6.101,0.765
Alec Empire,1,142.014,-4.054,0.726
Alejandro Fernández,2,136.26999999999998,-9.416,0.363
Alejandro Sanz,1,160.075,-6.731,0.846
Alela Diane,3,137.00066666666666,-12.060666666666668,0.21766666666666667
Alesana,25,141.79552,-5.75944,0.8445199999999999
Alesha Dixon,2,147.018,-3.714,0.8015
Alessia Cara,4,104.9515,-6.309,0.54625
Alesso,2,126.0135,-4.629,0.882
Alestorm,4,128.36075,-4.390000000000001,0.93575
Alex Clare,3,159.13666666666668,-7.946333333333333,0.5766666666666667
Alex Cornell,1,90.055,-11.216,0.408
Alex Gaudino,2,128.0315,-6.003,0.956
Alex Gopher,3,101.02266666666667,-7.397000000000001,0.6709999999999999
Alex Kozobolis,1,60.419,-29.531,0.248
Alex Party,1,127.825,-7.497,0.876
Alex Reece,2,159.81400000000002,-9.622,0.681
Alex Smoke,6,124.1555,-10.307333333333334,0.6745
"Alexander ""Skip"" Spence",1,99.487,-21.807,0.112
Alexandra Burke,2,153.043,-4.495,0.7985
Alexandre Desplat,3,136.70033333333333,-20.314666666666668,0.2220333333333333
Alexi Murdoch,6,117.99249999999999,-15.530833333333334,0.3431666666666667
Alexisonfire,18,117.51088888888889,-6.037555555555556,0.8111666666666666
Ali Farka Touré,7,113.81357142857144,-12.409,0.3520285714285714
Ali Farka Touré and Ry Cooder,1,90.353,-14.455,0.4
Alice Coltrane,3,89.34033333333333,-13.048666666666668,0.45566666666666666
