artist_name,total_artist_plays,artist_song_count
Atlantic Starr,2915,1
Atlas Sound,8043,19
Atmosphere,17734,9
Atomship,394,1
Atreyu,297,6
Atrium Carceri,43,3
Attack Attack!,21,3
Attila,30,2
Au Revoir Simone,7566,17
Audio Bullys,317,3
Audio Lotion,545,2
Audion,83,3
Audioslave,21560,18
Auf Der Maur,1080,9
Augury,21,1
August Burns Red,11143,19
Augustana,5068,8
Augustus Pablo,6,1
Austrian Death Machine,2198,7
Autechre,440,9
AutoKratz,3432,1
Autolux,294,3
Autopsy,41,1
Avant,984,2
Avantasia,14075,23
Avenged Sevenfold,31508,19
Aversions Crown,24,1
Avey Tare,12,1
Avi Buffalo,375,1
Avicii,81,4
Avishai Cohen Trio,106,1
Avril Lavigne,3247,12
Axel Bartsch,12,1
Axel Rudi Pell,429,2
Aya RL,326,1
Ayreon,6138,34
Ayria,1522,13
Ayub Ogada,915,2
Azam Ali,1042,7
Azari & III,325,1
Azealia Banks,26,2
Aztec Camera,205,2
Azure Ray,14,1
B-Complex,205,1
B-Tribe,217,2
B. Fleischmann,1,1
B.B. King,9123,9
B.J. Thomas,104,1
B.o.B,197,2
BABYMETAL,22,1
BACK-ON,454,1
BADBADNOTGOOD,71,3
BBE,331,1
BBMak,2070,1
BROCKHAMPTON,91,1
BROODS,5,1
BT,1939,1
BTS,13,1
Baaba Maal,390,2
Babasónicos,25,2
Babes in Toyland,155,1
Babylon Circus,1634,6
Babylon System,28,1
Babyshambles,2688,13
Bachelors of Science,235,2
Bachman-Turner Overdrive,18,1
Backstreet Boys,1879,1
Bad Astronaut,46,1
Bad Brains,7993,15
Bad Company,7,1
Bad English,40,1
Bad Manners,935,2
Bad Religion,2201,14
Badly Drawn Boy,2765,11
Badmarsh & Shri,1271,5
Bag Raiders,562,1
Baha Men,7,1
Bahamas,296,2
Bal-Sagoth,31,4
Balam Acab,34,2
Balanescu Quartet,190,1
Balkan Beat Box,9164,14
Balmorhea,25,2
Bananarama,4899,3
Banco De Gaia,124,1
Band Aid,35,1
Band of Horses,14890,10
Band of Skulls,95,1
Bandabardò,217,1
Bandits of the Acoustic Revolution,1118,4
Banks,763,4
Bar 9,17,1
Barbara,288,1
Barbara Lewis,18,1
Barbra Streisand,2331,1
Barcode Brothers,3,1
Barenaked Ladies,169,2
Bargain Music,39,1
Baroness,2339,19
Barrington Levy,393,3
Barry Manilow,41,1
Barry White,7726,5
Base Ball Bear,124,1
Basement Jaxx,8431,13
Basic Channel,243,4
Basil Poledouris,1127,1
Basshunter,15177,7
Bassnectar,81,1
Bastille,4460,6
Bat for Lashes,3317,4
Bathory,4225,25
Battle Beast,86,1
Battles,14003,13
Bauhaus,4976,23
Baul Dimension,43,1
Bayside,13024,7
Be Your Own Pet,560,5
Be'lakor,21,1
Beach Fossils,23,1
Beach House,12379,11
Beak>,459,2
Beanfield,871,6
Beanie Sigel,187,1
Bear in Heaven,3880,10
